Scenario (Aggregate),# Samples,Average_Response,Error %,Throughput,Average_latency,Language
Baseline,200,115,0.00%,3.34773,115.42,
Invalid URL,200,141,100.00%,3.34633,138.415,
Network Delay,200,107,0.00%,3.33233,106.905,
Hybrid,200,629,100.00%,3.31813,418.175,C#
,,,,,,
,,,,,,
Baseline,200,134,0.00%,3.35059,121.13,
Invalid URL,200,115,100.00%,3.34868,111.56,
Network Delay,200,123,0.00%,3.32751,122.795,
Hybrid,200,225,100.00%,3.34236,224.165,Go
,,,,,,
,,,,,,
Baseline,200,215,0.00%,3.34499,214.96,
Invalid URL,200,348,100.00%,3.33117,348.02,
Network Delay,200,198,0.00%,3.35121,197.72,
Hybrid,200,449,100.00%,3.32591,443.685,Java
,,,,,,
,,,,,,
Baseline,200,167,0.00%,3.34627,118.105,
Invalid URL,200,324,100.00%,3.33333,319.095,
Network Delay,200,290,0.00%,3.32657,199.55,
Hybrid,200,115,100.00%,3.34762,115.705,JavaScript
,,,,,,
,,,,,,
Baseline,200,172,0.00%,3.3461,126.54,
Invalid URL,200,119,100.00%,3.34896,115.145,
Network Delay,200,173,0.00%,3.33584,126.22,
Hybrid,200,141,100.00%,3.34219,140.895,Kotlin
,,,,,,
,,,,,,
Baseline,200,255,0.00%,16.28664,251.655,
Invalid URL,200,154,100.00%,20.06421,154.17,
Network Delay,200,249,0.00%,4.27862,245.31,
Hybrid,200,136,100.00%,3.34588,134.385,Python
,,,,,,
,,,,,,
Baseline,200,155,0.00%,3.34096,150.31,
Invalid URL,200,141,100.00%,3.34778,140.765,
Network Delay,200,164,0.00%,3.3432,158.94,
Hybrid,200,131,100.00%,3.34482,131.035,Ruby
,,,,,,
,,,,,,
Baseline,200,173,0.00%,3.34247,172.4,
Invalid URL,200,119,100.00%,3.34387,114.64,
Network Delay,200,140,0.00%,3.35211,140.135,
Hybrid,200,129,100.00%,3.34387,124.53,Swift
,,,,,,
,,,,,,
Baseline,200,123,0.00%,3.34409,123.165,
Invalid URL,200,576,100.00%,3.32281,569.16,
Network Delay,200,124,0.00%,3.33023,123.99,
Hybrid,200,105,100.00%,3.35036,105.515,TypeScript